DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT12R,DA0912DR12R,DAGC4X12R,DAGC5X11R,DA0GR12N,DA0GH12N,DA00A001513R,DA00AR01513R,DA00AW01513R,DA00AM01513R,DA00AC01513R,DA00AS01513R,DB00A001513R,DH00A001513R,DW00A001513R,DI00A001513R,D300A001513R,D400A001513R,D200A001513R,DE00A001513R,DA0CT12R,DA0CC12R,DA0CSA12R,DA0CAA12R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
BASTROP ISD,011901,011 BASTROP,13,Met Standard,14,9268,5.8,55.4,35.3,0.5,0.5,0.1,2.5,68,20.4,10.9,18.5,16.2,7.7,95.1,0.8,90.2,92.9,515,365,74,76,56,77,79,76,66,68,84,72,89,71,81,67,55.7,18.8,1405,20,1107.5,601.6,0.6,3,7.2,54.3,13,21.9,108199,73452,53701,47107,30.7,8.4,15.4,32.1,12.4,23.1,18.7,4.6,17.1,75.4,2.9,52.5,11.5,13.5,10.4,3.3,8.7,294837,1.481,94464848,10401,38,46.4,15.6,12804458,0,88850110,72644204,7999,56.8,4.5,5.1,10.3,23.2,41277880,4545,43.7,29,8.7,8,2.9,3.7,2.1,0.1,0.2,1.7,"5,000 to 9,999",Independent Town,"$290,480 to < $310,123",$1.3593 and over
ELGIN ISD,011902,011 BASTROP,13,Met Standard,6,4122,13.3,54.9,28.5,0.2,0.3,0,2.7,70.8,17.8,9.1,17.2,30.2,8,94.9,1.3,93.6,94.4,266,219,67,70,46,71,74,67,58,62,80,79,67,-1,65,60,63.5,11.8,1362,17.8,513.8,242.4,1.4,3.1,7.1,47.2,11.9,29.3,99660,66220,57745,47744,40.7,8,17,39.1,10.9,22.3,18.5,4.5,20.6,73,1.9,67.3,11.8,0.3,15.5,4.3,0.8,213664,1.54,39980430,9843,50.8,37.5,11.7,11499013,0,40434583,31803004,7829,56.2,6.5,5.2,11.9,20.2,17875334,4401,54,16.5,14.4,1.7,4.3,1.7,3.2,1.1,1.3,1.7,"3,000 to 4,999",Non-metropolitan Stable,"$200,659 to < $226,787",$1.3593 and over
SMITHVILLE ISD,011904,011 BASTROP,13,Met Standard,4,1768,8.5,25.8,62,0.4,0.3,0.1,2.9,55.5,4,10,3.8,25.6,6.7,96.2,0.2,92.7,40,106,76,76,81,58,78,82,70,62,68,80,90,100,-1,66,67,54.7,25.9,1447,21,242.4,125,1.2,3.2,7.9,51.6,12.1,23.9,87396,65031,47471,44284,14.6,7.3,14.1,27.1,13.3,21.5,17.6,4,0,91.2,4.8,82.5,8.3,0.4,2,4.4,2.4,336354,1.41,17184445,9979,36.9,52.4,10.7,2723641,0,15839660,13987323,8123,53.5,6.8,5.2,11.8,22.7,7483691,4346,52.5,22.2,9.7,0.9,5.5,1.6,3.8,1.4,1.7,0.6,"1,600 to 2,999",Non-metropolitan Stable,"$317,535 to < $338,619",$1.3593 and over
MCDADE ISD,011905,011 BASTROP,13,Met Standard,1,215,0.5,45.6,53.5,0,0,0,0.5,71.6,24.2,8.4,22.3,0,3.7,97.3,.,.,.,.,.,63,79,41,63,47,43,-1,64,63,.,.,.,.,60,.,.,.,.,33.7,15.6,5.9,3,5.9,46.2,20.1,18.9,66873,59740,56385,41780,21.1,6.4,13.8,26.3,10.9,19.3,0.6,0,10.1,89.9,0,89.4,5.7,4.9,0,0,0,367792,1.109,2281279,11882,48.5,38,13.6,722423,0,1940046,1830898,9536,54,14.4,4.6,10.3,16.8,987846,5145,48.7,10.9,24.9,2.8,0,0.8,0.7,0,6.3,4.9,Under 500,Rural,"$338,619 to < $381,395",Under $1.1254
SEYMOUR ISD,012901,012 BAYLOR,09,Met Standard,3,582,2.9,18.2,74.4,0.7,0.3,0,3.4,52.6,0,11.5,0,23.7,3.6,96.6,0,97.2,100,35,20,86,89,77,87,90,81,82,80,88,78,-1,.,74,81,60,42.9,-1,22.6,85,52,2.4,3,4.3,61.2,10.6,18.5,97233,70426,49086,43069,4.7,6.8,11.2,16.8,14.5,17.6,20.7,1.9,1.9,96.2,0,79.2,7.8,1,0,11.9,0,262114,1.04,6381262,11254,60,28.5,11.5,2927060,0,6506331,5770993,10178,54.8,8.3,5.9,11.9,19.1,3160367,5574,50.5,7.7,20.3,0.1,10.5,0.4,6.9,0.8,2.7,0,500 to 999,Rural,"$255,082 to < $275,100",Under $1.1254
ST MARY'S ACADEMY CHARTER SCHOOL,013801,013 BEE,02,Met Standard,1,431,1.2,80.7,15.1,0,2.3,0,0.7,77.3,0,7.2,0,0,4.9,97,.,.,.,.,.,83,89,88,78,77,.,100,81,85,.,96,.,-1,80,.,.,.,.,69.2,28.2,2.2,3.4,8.7,40.7,22.7,22.2,69278,55766,39885,36900,51.1,6.2,15.3,38.3,12.5,29.3,9.7,3.5,22.7,70.3,3.5,88.4,10.5,0,0.1,0,1,.,.,4189254,10579,77.5,4,18.6,0,236826,3845468,3789566,9570,51.8,13.8,6,13.6,14.8,1963150,4957,66.6,8.6,24.2,0,0,0.6,0,0,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
BEEVILLE ISD,013901,013 BEE,02,Met Standard,6,3453,1.9,82.9,14,0.2,0.5,0.1,0.4,73.7,3.5,8.8,2.9,29.5,7.5,94.1,1.2,91.9,88.1,218,184,61,68,49,61,67,57,61,59,71,72,97,-1,76,58,52.8,20.9,1475,19.6,501.7,234.7,1,2.6,7.2,46.8,12.4,30,91201,67028,50681,42091,63.8,6.9,14.7,46,10.9,19.1,25.4,1.7,43.9,53.6,0.9,88.4,8.4,0,0.1,1,2.1,163458,1.298,34054603,9845,54,26.5,19.6,11051456,0,31588046,27822710,8044,58,6.5,4.3,11.6,19.6,16127968,4663,62.7,14,10.5,0.6,3.9,1.5,4.3,0,0.9,1.7,"3,000 to 4,999",Independent Town,"$148,669 to < $184,624",$1.2321 to under $1.3593
PAWNEE ISD,013902,013 BEE,02,Met Standard,1,156,0,78.8,19.9,0,0,0,1.3,59,0.6,7.7,0,0,4.5,97.2,.,.,.,.,.,65,68,59,62,88,45,.,64,70,.,.,.,71,62,.,.,.,.,24.7,12,4.1,4.1,4.1,48.5,15.1,24.3,80071,70000,37896,44741,43.3,6.3,13,24.8,12.8,25.1,38.5,0,16.4,83.6,0,85,6.7,8.4,0,0,0,1029508,1.291,2463115,15994,21.8,67.3,11,1301190,0,2291701,1656948,10759,55.6,8.5,5.7,10.2,20,921425,5983,54,17.4,22.4,0,0,0.2,1.1,0,5.1,0,Under 500,Rural,"$678,171 to < $1,930,702",$1.2321 to under $1.3593
PETTUS ISD,013903,013 BEE,02,Improvement Required,2,427,2.1,60.4,36.5,0,0.2,0,0.7,60.7,0.2,11.5,0.2,31.9,6.1,95.7,0.6,92.9,93.8,39,15,73,82,62,74,71,67,85,67,82,.,-1,.,63,70,56.4,0,1282,17.4,76.3,35.6,2.6,3.2,4.8,46.7,12.8,30,63950,60685,41582,44509,44.4,5.6,12,25.3,13.3,10.1,34.7,0,28.1,71.9,0,85.6,8.7,0,0,5.7,0,371546,1.17,4624071,10880,49.2,39.6,11.2,799202,0,4298406,4087177,9617,53.8,8.5,6.5,10.3,21,2197102,5170,54.9,12.2,18.5,0.1,3.9,0.3,6.7,1.5,1.9,0,Under 500,Rural,"$338,619 to < $381,395",$1.1254 to under $1.2321
SKIDMORE-TYNAN ISD,013905,013 BEE,02,Met Standard,3,821,1.1,63.3,33.5,1.1,0.5,0,0.5,58.2,1.7,9.7,1.7,34.2,5.8,96.4,0,96.7,100,60,49,86,89,76,87,91,82,83,83,92,100,100,-1,-1,81,56.7,14.7,1370,20.3,106,59.7,3.8,2.8,8.8,56.3,6.6,21.6,81478,78824,41078,45683,48.4,7.7,13.8,28.5,13.1,11.5,31.5,3.4,30.2,64.8,1.7,94.5,4.4,0.2,0,0.9,0,161818,1.605,8579154,10631,66.4,22.7,10.9,1154587,0,15853874,7753360,9608,52.4,6.4,5.7,11.4,24.1,4060237,5031,48.3,12,21.8,0.8,4.7,0.5,8.8,0.7,1,1.4,500 to 999,Non-metropolitan Stable,"$148,669 to < $184,624",$1.3593 and over
RICHARD MILBURN ALTER HIGH SCHOOL,014801,014 BELL,12,Met Alternative Standard,1,156,42.9,22.4,25.6,0.6,1.3,1.3,5.8,78.2,0,23.1,0,49.4,0,88.1,13.9,55.9,63.3,78,33,38,48,20,25,48,47,37,30,44,-1,-1,56,35,37,15.4,16.7,1197,-1,29.3,15,6.8,3.4,10.2,51.3,6.1,22.1,13305,70000,18586,31818,52.4,5.3,10.4,63.9,6.4,19.7,50.1,42.6,26.4,31,0,86.4,6.5,0,0,7.1,0,.,.,1714000,10713,90.4,0.1,9.5,0,44970,1735735,1735735,10848,41.8,25.4,10.9,13.4,8.6,725405,4534,52.7,14,22.2,0,6.1,0,0.1,5,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
TRANSFORMATIVE CHARTER ACADEMY,014802,014 BELL,12,Met Alternative Standard,1,66,48.5,22.7,19.7,1.5,0,0,7.6,36.4,0,13.6,0,19.7,0,92.3,6,70,80.7,39,0,75,86,-1,59,92,81,69,59,85,-1,.,-1,92,75,0,.,.,.,7,3,14.3,14.3,0,42.9,0,28.6,61800,55000,.,37797,100,9.4,22,66.7,12.3,33.3,25,100,0,0,0,84.2,2,0,0,13.9,0,.,.,603753,12321,92.9,3.4,3.7,0,513245,572273,553598,11298,30.9,45.8,3.9,10.8,8.6,170989,3490,89.1,10.5,0.3,0,0.1,0,0,0,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
PRIORITY CHARTER SCHOOLS,014803,014 BELL,12,Met Standard,2,448,16.7,25,54.5,0.2,1.1,0,2.5,56.5,0.2,9.4,0,5.8,0,95,0,100,83.3,9,7,68,76,50,62,69,76,59,62,72,-1,-1,.,88,66,55.6,40,1578,.,39,26.1,3.8,7.7,0,67,0,21.5,74000,52640,35320,35943,15.8,11.5,17.1,74.1,3.7,19.1,19.8,15.3,1.5,83.2,0,91.5,3.8,3.4,0,1.2,0,.,.,2139061,8011,86.3,3.3,10.4,0,0,1653861,1615274,6050,48.4,14.8,9.3,12.3,15.3,781207,2926,49.5,18.3,21.1,0,0,0,0,0,11.1,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
ORENDA CHARTER SCHOOL,014804,014 BELL,12,Improvement Required,5,998,5.5,18.9,70.2,0.3,1.9,0,3.1,31.1,1,10.5,0.4,0.7,0,94.6,2.7,83.1,73.8,63,27,81,86,75,80,82,75,57,76,82,-1,90,.,82,72,25.4,31.3,1486,-1,101.1,62.7,4,8,8.8,62.1,10.5,6.6,73419,47589,50104,45193,21.7,9.9,15.9,54.8,6.7,19.9,18.3,8,6.3,82.5,3.2,89.7,9.2,1.1,0,0,0,.,.,7941429,9696,90.7,3.4,5.9,0,327225,7472392,6866243,8384,52.6,15.7,6.6,16,9,3611120,4409,64,23.7,8.1,0,0,0,2.5,1.7,0,0,500 to 999,Charters,Non-taxing entities,Non-taxing entities
ACADEMY ISD,014901,014 BELL,12,Met Standard,3,1174,2.4,21.5,72.1,0.9,0.7,0,2.5,34.2,3.2,8,3.2,20,8.2,96.8,0,98.7,96.1,72,58,85,86,76,85,89,84,86,78,86,95,86,.,83,77,59.7,41.9,1526,23.6,160.7,85.6,1.1,2.6,3.5,53.2,15.6,24.1,94580,73293,56252,47997,11.5,7.3,13.7,11.7,17.2,9.8,7.2,0,4,93.1,2.9,86.5,7.4,1.2,0,4.9,0,196864,1.174,10701202,9437,54.7,39.9,5.4,1777149,0,10415481,9226723,8136,58.7,4.8,6.4,11.6,18.6,5411967,4772,61.1,15.9,11.3,0.2,4.8,0.6,4.7,1.4,0,0,"1,000 to 1,599",Non-metropolitan Stable,"$184,624 to < $200,659",$1.1254 to under $1.2321
BARTLETT ISD,014902,014 BELL,13,Met Standard,1,421,11.6,64.4,21.9,0,0,0,2.1,76.5,11.6,9.5,11.6,29.5,1.9,95.6,0.7,100,88.9,29,18,60,63,41,66,62,57,53,59,65,.,.,.,67,58,65.5,0,1121,-1,58.6,30.5,1.7,6.8,5.1,52,11.9,22.4,101000,55136,49085,37790,30.1,7.2,13.8,39.4,9.7,19.7,38.6,3.3,6.6,90.2,0,90.5,2.2,1.6,0.3,5.4,0,218130,1.155,4478659,11338,58.5,25.1,16.5,1502330,0,4099171,3919972,9924,51.2,8.2,5,13.4,22.3,2004923,5076,44.6,8.4,26.8,1.9,5.2,0.9,8.8,1.7,1,0.9,Under 500,Rural,"$200,659 to < $226,787",$1.1254 to under $1.2321
BELTON ISD,014903,014 BELL,12,Met Standard,13,9896,6.7,31.9,55.5,0.9,1.6,0.2,3.3,49,6.9,11,6.8,20.8,8,96.3,0,99.1,98.2,590,428,81,84,64,84,85,82,73,74,85,79,96,74,81,72,55.1,30.8,1465,22.6,1375.1,647.9,0.8,2.2,8.3,47.1,11.4,30.2,91224,70540,56752,46441,20.7,7.2,15.3,30.7,11.6,15.9,16.6,2.7,6.5,89.3,1.5,75.5,9.3,6.7,3.8,3.6,1.2,207799,1.406,88002783,9255,53.6,36.1,10.3,11565309,0,98615093,75852467,7977,54.1,6.9,5.4,11.7,21.9,41000366,4312,62,15.2,8.8,1,3.8,1.4,4.6,1.3,1,0.9,"5,000 to 9,999",Other Central City Suburban,"$200,659 to < $226,787",$1.3593 and over
HOLLAND ISD,014905,014 BELL,12,Met Standard,3,610,3.6,31,64.1,0.2,0.2,0,1,56.9,3.3,7.5,3.3,32.1,7.9,97.1,0,100,100,34,18,85,87,66,89,94,85,77,83,87,-1,-1,.,100,83,67.6,17.4,1420,19.2,98.2,51.8,1,1.5,3.5,52.7,11.7,29.6,100094,80072,46208,44359,16.5,6.2,11.8,19.3,14.7,14.4,14.5,1.9,5.8,92.3,0,84,8.6,1.9,0,5.5,0,135062,1.28,7770764,12697,53.4,27.6,19,1234558,0,6802584,6067462,9914,50.9,8.2,5,10.5,25.5,3085317,5041,47.1,34.2,9,0.2,3.4,0.3,4.4,1.1,0.4,0,500 to 999,Rural,"$100,904 to < $148,669",$1.2321 to under $1.3593
KILLEEN ISD,014906,014 BELL,12,Met Standard,54,41687,33,27.6,27.9,0.8,2.7,1.4,6.6,56.3,8.2,10.7,7.3,15.5,3.9,95.2,2,86.2,89.9,1909,1315,76,80,63,77,81,76,71,76,82,76,87,75,81,71,62.9,18.1,1376,20,5733.4,2733.4,0.4,3.3,8.7,47.7,12.4,27.6,95923,69455,58382,48292,41.1,7.3,15.3,39.9,10.2,21.1,14.5,15.3,11.9,66.9,5.9,75.7,10.5,2.2,3.2,2.8,5.7,147782,1.141,370998370,9066,54.9,21.5,23.7,90466078,0,364573652,328973907,8039,59.7,4.3,5.7,10,20.3,196444477,4800,65,16.1,6.7,0.5,1.7,0.7,2.2,1,4.7,1.5,"25,000 to 49,999",Other Central City,"$100,904 to < $148,669",$1.1254 to under $1.2321
ROGERS ISD,014907,014 BELL,12,Met Standard,4,838,1.2,27.3,69.2,0.6,0.6,0.1,1,48.7,3.8,7.2,3.8,30.7,10.3,97.1,0.7,94.2,96.7,67,58,77,78,60,81,82,77,62,67,81,70,100,-1,65,66,67.2,11.1,1396,21.3,120.3,62.7,2.1,2.6,9.1,52.1,11.6,22.4,69517,68093,50666,42101,8,7,13.4,23.9,12.8,9.3,20.3,1.6,3.9,94.5,0,83.9,7.3,0,1.9,6.1,0.9,163889,1.32,9229620,10732,65.2,27.1,7.7,1742031,0,8947665,7346500,8542,50.3,7.7,5.3,12.9,23.7,3697049,4299,61.5,13.1,10.1,0.5,4,0.4,7.9,1.9,0.7,0,500 to 999,Non-metropolitan Stable,"$148,669 to < $184,624",$1.2321 to under $1.3593
SALADO ISD,014908,014 BELL,12,Met Standard,4,1348,0.7,19.5,75.9,1,0.9,0.1,1.9,24.8,6.9,6.8,6.8,27.7,4.7,96.4,0.4,99,99.2,96,80,89,91,78,91,94,90,96,84,90,84,100,100,97,77,82.3,38,1541,24.4,168.2,94.6,1.2,3.6,4.5,56.2,7.5,27,91251,65165,52147,44898,15.3,8,14.3,21.9,14.4,17.4,18.6,0.7,5.4,93.9,0,75,5,4.6,2.6,4.9,7.9,426548,1.3,12909241,9294,26.8,69.2,4,4563801,0,13116115,10470922,7538,58.7,4,6,9.2,22.2,6145039,4424,64.6,10,9.3,0.8,5.1,0.8,6.5,2.1,0.9,0,"1,000 to 1,599",Other Central City Suburban,"$401,088 to < $441,866",$1.2321 to under $1.3593
TEMPLE ISD,014909,014 BELL,12,Met Standard,17,8752,27.4,40.1,27.3,0.5,1.5,0.1,3.1,74.6,8.3,7.8,8.1,19.3,8.3,95.1,2.6,91.1,86.6,512,288,67,70,48,70,72,67,55,65,79,78,90,92,74,61,43,29.1,1448,21.6,1211.1,601,1.2,3,9.2,49.6,9.3,27.7,89986,66759,51544,45493,33.5,7.2,14.6,35,11,16.2,20,8.5,11.9,78,1.7,70.3,9.9,6.4,4.6,3.4,5.5,301945,1.285,83370230,9552,36,47.2,16.8,15760784,0,85588284,71730523,8218,57.2,5.7,5.5,9.8,21.9,40995068,4697,61.6,12.9,13.1,0.4,3,0.6,3.3,1,2.1,2,"5,000 to 9,999",Other Central City Suburban,"$290,480 to < $310,123",$1.2321 to under $1.3593
TROY ISD,014910,014 BELL,12,Met Standard,5,1380,0.9,24.1,72.5,0.7,0.5,0.3,1,47.1,2.7,8.8,2.8,22.6,6.2,96.3,0.2,98.9,97.9,95,81,81,86,66,80,89,82,82,77,82,77,75,100,95,74,64.2,23,1476,20.1,176.9,93.9,2.3,4.1,3.9,53.1,12.3,24.4,77352,67130,52992,42943,11.1,7.8,14.7,26.7,13.3,14.7,13,0,6.4,92.5,1.1,81.4,9.8,3.5,0.2,3.8,1.3,177483,1.352,12243247,9123,60.6,33.1,6.3,1087560,0,12065885,10217030,7613,53.7,5.7,6.4,10.9,23.2,5489501,4091,62.7,13.5,9,0.2,4.4,0.7,5.6,1.2,1.8,0.9,"1,000 to 1,599",Non-metropolitan Stable,"$148,669 to < $184,624",$1.2321 to under $1.3593
POR VIDA ACADEMY,015801,015 BEXAR,20,Met Alternative Standard,3,311,3.2,90.7,5.8,0,0.3,0,0,79.7,1.3,15.1,1.3,70.7,0,68.9,29.7,29.7,29.1,78,59,47,54,23,40,59,55,.,46,63,.,.,.,.,45,17.9,0,1056,.,61.3,29.7,4.9,11.4,20.2,48.4,0.7,14.3,82083,42568,40272,39000,73.5,5.1,10.5,89.9,2.8,6.7,43.8,3.4,58.9,34.4,3.4,77,15.2,0,0,7.4,0.5,.,.,6137492,17387,41.4,1.9,56.7,0,15189,5961590,5924204,16782,56.3,11.9,8.3,11.6,12,3337479,9455,70.6,8.8,15.8,0,3.7,0,0.8,0.2,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
GEORGE GERVIN ACADEMY,015802,015 BEXAR,20,Met Standard,2,1228,34.2,61,3.3,0.1,0.2,0,1.2,95.3,7.9,3.4,8,5,0,92.9,0,86.3,79.4,60,48,57,68,34,57,64,53,53,63,86,.,.,.,87,56,8.3,0,-1,-1,104.6,53,2.9,3.8,10.4,50.7,12.2,20,96649,40373,43947,34767,71.1,11.7,23.2,91.3,2.1,7.5,35.1,18.8,42.1,35.3,3.8,98.5,0,0,1.5,0,0,.,.,8811187,6640,82.3,3.5,14.2,0,932275,7466988,7466988,5627,47.8,3.5,9,25.3,14.4,3569625,2690,42.4,6.8,23.6,0.6,3.2,0,0.9,0.7,21.8,0,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
HIGGS CARTER KING GIFTED & TALENTE,015803,015 BEXAR,20,Improvement Required,1,642,13.2,78.8,4.8,0.3,1.2,0,1.6,97.2,3.3,4.2,3.3,0,0,94.8,4.9,-1,-1,-1,-1,56,63,42,54,55,70,56,56,70,.,.,.,.,56,-1,-1,-1,.,72.7,31,0.9,1.8,4.1,42.7,19.6,30.8,98772,62867,41861,46046,84.2,8.8,20.7,83.6,4,16.1,43.3,19.2,51.8,29,0,100,0,0,0,0,0,.,.,5945629,8089,67,5.6,27.3,0,966684,6025487,5927189,8064,42.3,13.6,5,15.5,23.7,2505697,3409,52.3,5.9,39.1,0.3,0,0,0,0,2.3,0,500 to 999,Charters,Non-taxing entities,Non-taxing entities
NEW FRONTIERS CHARTER SCHOOL,015805,015 BEXAR,20,Met Standard,3,627,2.2,93.6,3.7,0,0,0,0.5,78.6,11,8.3,10.5,0,0,95.6,.,.,.,.,.,59,67,44,59,55,45,63,59,64,.,.,.,-1,57,.,.,.,.,77.2,43.7,7.8,0,9.6,56.5,7.8,18.4,79670,.,45910,44553,74.3,8.1,14.4,67.9,4.3,13.7,30.2,6.9,59,29.5,4.6,78.7,16.5,0,4.6,0.3,0,.,.,6258069,10293,79.8,0.9,19.4,0,3151046,6087520,5515593,9072,58.4,13.8,4.5,14.8,8.5,3222952,5301,50.2,17,30.3,2.5,0,0,0,0,0,0,500 to 999,Charters,Non-taxing entities,Non-taxing entities
SCHOOL OF EXCELLENCE IN EDUCATION,015806,015 BEXAR,20,Met Standard,7,1527,33.2,61.9,3.1,0,0.1,0.3,1.4,87.6,11.5,7.5,11.3,12.6,0,96.8,0.4,92.3,59.3,62,60,68,74,58,69,70,56,65,69,78,.,.,64,88,67,93.5,5.2,1240,.,237.3,95.5,1.7,2.1,13.6,40.2,6.3,36.1,71424,63137,45580,36577,81.4,6.4,16,54.8,5.7,13.3,51.8,39.8,37.6,18.4,4.1,87.8,0.5,8,1,2.6,0,.,.,17135307,10267,77.2,1.3,21.6,0,198960,18261278,17442898,10451,44.2,20.1,5.5,12.8,17.5,7710469,4620,38.8,10.6,38.1,1.7,1.7,0,2.5,0.4,6.2,0,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
SOUTHWEST PREPARATORY SCHOOL,015807,015 BEXAR,20,Met Alternative Standard,4,508,12.6,75,11.2,0,0.4,0,0.8,65.4,3.7,14.6,2.2,65.7,1.6,87.8,6.7,57.2,55.9,174,53,52,60,36,45,60,56,47,52,60,.,-1,.,.,50,8.6,6.7,1219,-1,92.5,43.2,5.9,5.5,28.9,46.7,8.1,4.8,96996,58418,51941,42344,51.7,5.5,11.8,60.9,5.6,23.6,32.2,15.3,37.9,46.8,0,73.9,17.4,0,0,8.7,0,.,.,8272886,17677,48.6,6.5,45,0,2118563,8330999,7820813,16711,43.5,23.9,9.8,10.3,12.5,3403448,7272,8.5,13.6,69.3,0.3,8.3,0,0,0,0,0,500 to 999,Charters,Non-taxing entities,Non-taxing entities
JOHN H WOOD JR PUBLIC CHARTER DIST,015808,015 BEXAR,20,Not Rated,6,557,21.2,40.6,36.1,0.9,0.2,0,1.1,100,6.1,41.7,2.7,0,0,99.2,14.3,-1,-1,-1,-1,40,45,32,36,47,43,46,24,52,-1,.,.,-1,40,0,.,.,.,143.2,59.7,2.8,11.5,18.9,41.7,0.7,24.5,98722,54920,57036,45228,36.6,3.9,9.3,68.5,5.9,11.6,38.7,8.6,11.7,70,9.7,78,22,0,0,0,0,.,.,12788024,24498,66.9,2,31.1,0,2798316,9861716,9861716,18892,45.2,24.4,12.8,2.1,15.6,4454461,8533,0,70.6,28.3,0.3,0,0,0,0.8,0,0,500 to 999,Charters,Non-taxing entities,Non-taxing entities
BEXAR COUNTY ACADEMY,015809,015 BEXAR,20,Met Standard,1,458,2.2,93.2,3.7,0,0.4,0,0.4,29.3,19.4,9.4,19.7,0,0,94,.,.,.,.,.,65,66,51,74,62,28,-1,65,67,.,.,.,-1,66,.,.,.,.,43.4,26.4,0,4.6,8,60.9,18.4,8.1,.,38241,31076,30950,63.2,10.5,17.3,62.3,5.6,18.9,37.1,11.3,45.2,39.6,3.8,69.9,11.3,15,3.8,0,0,.,.,3977762,7924,83.7,0.8,15.5,0,712372,3942362,3926435,7822,51.1,14.1,11.8,16.4,6.6,2005163,3994,55.9,12,21,1.9,0,0,0,0,9.2,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
POSITIVE SOLUTIONS CHARTER SCHOOL,015814,015 BEXAR,20,Met Alternative Standard,1,167,1.8,94.6,3.6,0,0,0,0,94.6,5.4,5.4,0,6.6,0,84.5,21.4,24.6,27.3,26,7,60,61,37,70,65,58,.,59,80,.,.,.,.,57,15.4,-1,-1,.,24,11,4.2,4.2,20.8,45.8,0,25,105677,57000,43980,33271,83.3,7,15.2,63.6,11.1,36.4,45.4,9.1,63.6,27.3,0,96.4,0,0,0,3.6,0,.,.,2065650,13680,53.4,0.2,46.5,0,236198,2190446,2190446,14506,49.7,19.3,20.7,1.2,9.1,1088810,7211,43.8,3.6,52.7,0,0,0,0,0,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
RADIANCE ACADEMY OF LEARNING,015815,015 BEXAR,20,Met Alternative Standard,7,482,9.8,78.8,9.1,0,0.4,0,1.9,75.9,15.1,7.7,16.2,41.7,0,95.2,4.6,83.3,68.4,25,20,68,73,51,62,74,81,53,67,86,.,.,.,63,65,16,-1,-1,-1,61.2,32,4.1,1.6,16.8,52.3,1.6,23.5,134098,60000,64358,39431,67.3,7.9,15.1,74.9,7.1,18.7,74.7,4.8,54.6,40.6,0,82.1,11.1,0,0.4,6.4,0,.,.,6273756,8689,87.5,0.7,11.8,0,510415,5549981,5404745,7486,40.7,17.3,9.3,22.6,10.1,2200716,3048,43.2,8.7,33.2,5.6,3.6,0,0.7,2.4,2.7,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
ACADEMY OF CAREERS AND TECHNOLOGIE,015816,015 BEXAR,20,Met Alternative Standard,1,192,8.3,78.6,10.9,0.5,0.5,0,1,36.5,6.3,9.9,6.3,100,0.5,94.2,0.5,59,48.9,29,29,63,70,50,56,67,73,77,59,76,90,.,.,100,66,27.6,0,.,16.1,30,13,6.7,10,40,43.3,0,0,70750,35667,27058,33831,66.7,6.4,14.8,92.3,3.4,0,30.8,7.7,46.2,46.2,0,55.8,0,0,0,44.2,0,.,.,2117040,11261,79.9,3.9,16.3,0,491379,2191885,2110588,11227,32.1,22,2.9,11.7,31.4,676961,3601,57.6,5.7,23.5,0.2,13,0,0,0,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
